date,currency_code,local_price,dollar_ex,dollar_price
01/05/2004,TWD,75,33,2.27
01/05/2004,THB,59,40,1.48
01/05/2004,TRY,3950000,1531000,2.58
01/05/2004,UAH,7.25,5,1.45
01/05/2004,USD,2.47,1,2.47
01/05/2004,UYU,29.8,29,1.03
01/05/2004,VEF,4400,2977,1.48
01/06/2005,ARS,4.75,2,2.38
01/06/2005,AUD,3.25,1,3.25
01/06/2005,BRL,5.9,2,2.95
01/06/2005,GBP,1.88,1,1.88
01/06/2005,CAD,3.28,1,3.28
01/06/2005,CLP,1500,592,2.53
01/06/2005,CNY,10.5,8,1.31
01/06/2005,COP,6500,2327,2.79
01/06/2005,CRC,1130,475,2.38
01/06/2005,CZK,56.42,24,2.35
01/06/2005,DKK,27.75,6,4.62
01/06/2005,EGP,9,5,1.8
01/06/2005,EUR,2.92,1,2.92
01/06/2005,HKD,12,7,1.71
01/06/2005,HUF,530,203,2.61
01/06/2005,IDR,14600,9545,1.53
01/06/2005,JPY,250,106,2.36
01/06/2005,MYR,5.25,3,1.75
01/06/2005,MXN,28,10,2.8
01/06/2005,NZD,4.45,1,4.45
01/06/2005,NOK,39,6,6.5
01/06/2005,PKR,130,59,2.2
01/06/2005,PEN,8.99,3,3
01/06/2005,PHP,80,54,1.48
01/06/2005,PLN,6.5,3,2.17
01/06/2005,RUB,42,28,1.5
01/06/2005,SAR,9,3,3
01/06/2005,SGD,3.6,1,3.6
01/06/2005,ZAR,13.95,6,2.32
01/06/2005,KRW,2500,1005,2.49
01/06/2005,LKR,175,99,1.77
01/06/2005,SEK,31,7,4.43
01/06/2005,CHF,6.3,1,6.3
01/06/2005,TWD,75,31,2.42
01/06/2005,THB,60,40,1.5
01/06/2005,TRY,4,1,4
01/06/2005,AED,9,3,3
01/06/2005,UAH,7.25,5,1.45
01/06/2005,USD,2.58,1,2.58
01/06/2005,UYU,44,24,1.83
01/06/2005,VEF,5600,2629,2.13
01/01/2006,ARS,4.75,3,1.58
01/01/2006,AUD,3.25,1,3.25
01/01/2006,BRL,6.2,2,3.1
01/01/2006,GBP,1.88,1,1.88
01/01/2006,CAD,3.52,1,3.52
01/01/2006,CLP,1560,522,2.99
01/01/2006,CNY,10.5,8,1.31
01/01/2006,CZK,62,23,2.7
01/01/2006,DKK,27.75,6,4.62
01/01/2006,EGP,9.25,5,1.85
01/01/2006,EUR,2.91,1,2.91
01/01/2006,HKD,12,7,1.71
01/01/2006,HUF,560,206,2.72
01/01/2006,IDR,14600,9460,1.54
01/01/2006,JPY,250,114,2.19
01/01/2006,MYR,5.5,3,1.83
01/01/2006,MXN,28,10,2.8
01/01/2006,NZD,4.45,1,4.45
01/01/2006,PEN,9.5,3,3.17
01/01/2006,PHP,82,52,1.58
01/01/2006,PLN,6.5,3,2.17
01/01/2006,RUB,46,28,1.64
01/01/2006,SGD,3.6,1,3.6
01/01/2006,ZAR,13.95,6,2.32
01/01/2006,KRW,2500,977,2.56
01/01/2006,SEK,33,7,4.71
01/01/2006,CHF,6.3,1,6.3
01/01/2006,TWD,75,31,2.42
01/01/2006,THB,60,39,1.54
01/01/2006,TRY,4.1,1,4.1
01/01/2006,USD,2.67,1,2.67
01/01/2006,VEF,5900,2615,2.26
01/05/2006,ARS,7,3,2.33
01/05/2006,AUD,3.25,1,3.25
01/05/2006,BRL,6.4,2,3.2
